id,name,category,repo,path,url,description,form,lang,required_capabilities,license,license_scope,repo_license,license_conflict,capabilities,repo_stars,stars_scope,path_last_commit,stale,checked_at,audit_level,audit_verdict
phd-skills-launch,PhD Skills: Launch,model_training_finetuning,fcakyon/phd-skills,plugin/skills/launch,https://github.com/fcakyon/phd-skills/tree/HEAD/plugin/skills/launch,"Runs a pre-flight checklist for long-running ML training jobs to catch misconfigured configs, paths, and monitoring before launch.",skill,en,creds|external,MIT,repo_fallback,MIT,False,"[{'flag': 'creds', 'polarity': 'required', 'rule_id': 'creds.envvar', 'evidence_file': 'SKILL.md', 'evidence_line': 84, 'evidence': '- `WANDB_API_KEY` set or `wandb` import in the launcher → wandb'}, {'flag': 'external', 'polarity': 'required', 'rule_id': 'external.sched', 'evidence_file': 'SKILL.md', 'evidence_line': 3, 'evidence': 'description: Pre-flight checklist for long-running ML training jobs covering config diff, run naming, path verification, monitoring setup, and restart-cleanup. '}]",385,monorepo_subpath_not_attributable,2026-04-30,False,2026-09-04,static,
phd-skills-compare,PhD Skills: Compare,experiment_repro,fcakyon/phd-skills,plugin/skills/compare,https://github.com/fcakyon/phd-skills/tree/HEAD/plugin/skills/compare,Enforces same-epoch alignment when comparing ML training runs and separates proxy metrics from downstream targets.,skill,en,creds,MIT,repo_fallback,MIT,False,"[{'flag': 'creds', 'polarity': 'required', 'rule_id': 'creds.envvar', 'evidence_file': 'SKILL.md', 'evidence_line': 26, 'evidence': '1. `WANDB_API_KEY` env var set, or `wandb` imports in the project → **wandb**'}]",385,monorepo_subpath_not_attributable,2026-04-30,False,2026-09-04,static,
phd-skills-reproduce,PhD Skills: Reproduce,experiment_repro,fcakyon/phd-skills,plugin/skills/reproduce,https://github.com/fcakyon/phd-skills/tree/HEAD/plugin/skills/reproduce,"Walks through seven stages from an arXiv URL to a measurable replication run, handling missing code, hyperparameters, and private datasets via public-substitute strategies.",skill,en,,MIT,repo_fallback,MIT,False,[],385,monorepo_subpath_not_attributable,2026-04-30,False,2026-09-04,static,
phd-skills-dataset-curation,PhD Skills: Dataset Curation,cv_data_annotation,fcakyon/phd-skills,plugin/skills/dataset-curation,https://github.com/fcakyon/phd-skills/tree/HEAD/plugin/skills/dataset-curation,"Analyzes dataset bias, distribution, and fairness before model training.",skill,en,,MIT,repo_fallback,MIT,False,[],385,monorepo_subpath_not_attributable,2026-03-12,False,2026-09-04,static,
phd-skills-paper-verification,PhD Skills: Paper Verification,writing_submission,fcakyon/phd-skills,plugin/skills/paper-verification,https://github.com/fcakyon/phd-skills/tree/HEAD/plugin/skills/paper-verification,"Verifies paper claims against code and data through numerical-accuracy, terminology-consistency, and formula-code alignment checks.",skill,en,,MIT,repo_fallback,MIT,False,[],385,monorepo_subpath_not_attributable,2026-03-12,False,2026-09-04,static,
phd-skills-research-publishing,PhD Skills: Research Publishing,experiment_repro,fcakyon/phd-skills,plugin/skills/research-publishing,https://github.com/fcakyon/phd-skills/tree/HEAD/plugin/skills/research-publishing,"Prepares research code for public release alongside a paper submission, covering repository cleanup, dependency auditing, and a reproducibility checklist.",skill,en,creds,MIT,repo_fallback,MIT,False,[],385,monorepo_subpath_not_attributable,2026-03-12,False,2026-09-04,static,
nature-paper-figure-planner,Nature Paper Skills: Figure Planner,ml_plotting,boom5426/nature-paper-skills,skills/core/figure-planner,https://github.com/boom5426/nature-paper-skills/tree/HEAD/skills/core/figure-planner,"Plans and audits manuscript figure organization, enforcing one claim per figure, assigning panel roles, and deciding main-versus-supplement placement before legends or results text are written.",skill,en,,MIT,repo_fallback,MIT,False,[],481,monorepo_subpath_not_attributable,2026-09-04,False,2026-09-04,static,
nature-paper-submission-audit,Nature Paper Skills: Submission Audit,writing_submission,boom5426/nature-paper-skills,skills/core/submission-audit,https://github.com/boom5426/nature-paper-skills/tree/HEAD/skills/core/submission-audit,"Runs a late-stage manuscript preflight audit that cross-checks claims, figures, legends, methods, and supplement against venue expectations before submission or resubmission.",skill,en,,MIT,repo_fallback,MIT,False,[],481,monorepo_subpath_not_attributable,2026-05-08,False,2026-09-04,static,
nature-paper-results-analysis,Nature Paper Skills: Results Analysis,experiment_repro,boom5426/nature-paper-skills,skills/research/results-analysis,https://github.com/boom5426/nature-paper-skills/tree/HEAD/skills/research/results-analysis,"Runs a systematic pipeline for analyzing ML experimental results, running statistical tests, and generating paper-ready figures and text.",skill,en,,MIT,repo_fallback,MIT,False,[],481,monorepo_subpath_not_attributable,2026-04-29,False,2026-09-04,static,
research-gap-finder,Research Gap Finder,ideation,chtc66/academic-skills,research-gap-finder,https://github.com/chtc66/academic-skills/tree/HEAD/research-gap-finder,Analyzes literature and early ideas to identify grounded research gaps and testable entry points without forcing novelty claims.,skill,en,,MIT,repo_fallback,MIT,False,[],347,monorepo_subpath_not_attributable,2026-04-05,False,2026-09-04,static,
survey-writer,Survey Writer,writing_submission,chtc66/academic-skills,survey-writer,https://github.com/chtc66/academic-skills/tree/HEAD/survey-writer,"Writes a survey draft around a research topic by organizing multiple papers into problem-driven, method-evolution narratives rather than paper-by-paper summaries.",skill,en,,MIT,repo_fallback,MIT,False,[],347,monorepo_subpath_not_attributable,2026-04-05,False,2026-09-04,static,
experiment-log-summarizer,Experiment Log Summarizer,experiment_repro,chtc66/academic-skills,experiment-log-summarizer,https://github.com/chtc66/academic-skills/tree/HEAD/experiment-log-summarizer,Summarizes ML experiment logs into structured Chinese output with evidence/speculation separated and a weekly-update abstract.,skill,zh,,MIT,repo_fallback,MIT,False,[],347,monorepo_subpath_not_attributable,2026-04-05,False,2026-09-04,static,
typst-paper,Typst Paper,writing_submission,bahayonghang/academic-writing-skills,academic-writing-skills/typst-paper,https://github.com/bahayonghang/academic-writing-skills/tree/HEAD/academic-writing-skills/typst-paper,"Assists with existing Typst manuscripts covering compilation, venue formatting, grammar, bibliography, and submission readiness.",skill,en,creds,unverified,repo_fallback,unverified,False,[],442,monorepo_subpath_not_attributable,2026-08-29,False,2026-09-04,static,
latex-thesis-zh,LaTeX Thesis (Chinese),writing_submission,bahayonghang/academic-writing-skills,academic-writing-skills/latex-thesis-zh,https://github.com/bahayonghang/academic-writing-skills/tree/HEAD/academic-writing-skills/latex-thesis-zh,"Assists graduate students with Chinese LaTeX thesis projects, covering compilation diagnosis, GB/T 7714 bibliography formatting, structure review, and blind-review anonymization.",skill,zh,,unverified,repo_fallback,unverified,False,[],442,monorepo_subpath_not_attributable,2026-08-30,False,2026-09-04,static,
gs-skills,Google Scholar Skills,lit_review,cookjohn/gs-skills,skills/gs-search,https://github.com/cookjohn/gs-skills/tree/HEAD/skills/gs-search,"Searches Google Scholar via browser automation, returning structured results with citation counts and full-text links.",suite,en,external|net,MIT,repo_fallback,MIT,False,"[{'flag': 'external', 'polarity': 'required', 'rule_id': 'external.mcp', 'evidence_file': 'SKILL.md', 'evidence_line': 19, 'evidence': 'Use `mcp__chrome-devtools__navigate_page`:'}]",498,monorepo_subpath_not_attributable,2026-03-04,False,2026-09-04,static,
patent-research,Patent Research,lit_review,borghei/Claude-Skills,research/patent,https://github.com/borghei/Claude-Skills/tree/HEAD/research/patent,"Conducts patent prior-art searches, IP landscape mapping, and patentability assessment for technology research.",skill,en,net,MIT,declared_in_skill_frontmatter,unverified,False,[],701,monorepo_subpath_not_attributable,2026-06-22,False,2026-09-04,static,
grant-proposal-skill,Grant Proposal Skill,writing_submission,borghei/Claude-Skills,research/grants,https://github.com/borghei/Claude-Skills/tree/HEAD/research/grants,"Guides grant proposal architecture, funder fit evaluation, and budget design for academic research funding.",skill,en,creds,MIT,declared_in_skill_frontmatter,unverified,False,[],701,monorepo_subpath_not_attributable,2026-06-22,False,2026-09-04,static,
econ-writing-skill,Econ Writing Skill,writing_submission,hanlulong/econ-writing-skill,skills/econ-write,https://github.com/hanlulong/econ-writing-skill/tree/HEAD/skills/econ-write,Synthesizes economics-writing guidance from 50+ style guides into executable rules for drafting and revising economics papers.,skill,en,,MIT,repo_fallback,MIT,False,[],583,monorepo_subpath_not_attributable,2026-07-15,False,2026-09-04,static,
gemini-deep-research,Gemini Deep Research,lit_review,sanjay3290/ai-skills,skills/deep-research,https://github.com/sanjay3290/ai-skills/tree/HEAD/skills/deep-research,Executes multi-step literature and technical research using the Google Gemini Deep Research Agent to produce a detailed cited report.,skill,en,creds|net,Apache-2.0,declared_in_skill_frontmatter,Apache-2.0,False,"[{'flag': 'creds', 'polarity': 'required', 'rule_id': 'creds.envvar', 'evidence_file': 'SKILL.md', 'evidence_line': 18, 'evidence': '- GEMINI_API_KEY environment variable'}]",417,monorepo_subpath_not_attributable,2026-02-19,False,2026-09-04,static,
docx-skill-4-cn-paper,DOCX Skill for Chinese Papers,writing_submission,gostyan/docx-skill-4-cn-paper,docx-editor-cn,https://github.com/gostyan/docx-skill-4-cn-paper/tree/HEAD/docx-editor-cn,Creates and edits .docx files with Chinese academic formatting conventions such as three-line tables and block formulas.,skill,zh,,MIT,repo_fallback,MIT,False,[],399,monorepo_subpath_not_attributable,2026-06-30,False,2026-09-04,static,
skill-deslop,Skill Deslop,writing_submission,stephenturner/skill-deslop,,https://github.com/stephenturner/skill-deslop,Removes common AI-writing patterns from academic and research prose to restore a more natural voice.,skill,en,,MIT,license_file_in_skill_dir,MIT,False,[],381,whole_repo_is_skill,2026-03-18,False,2026-09-04,static,
